dataset,instance,seed,checkpoint_s,score_at_checkpoint,progress_to_final_improvement
real_world,input/real_world/B35k_L60_D120.txt,1,600,12864753.0,1.0
real_world,input/real_world/B35k_L60_D120.txt,12,0,12544648.0,0.0
real_world,input/real_world/B35k_L60_D120.txt,12,30,12864753.0,1.0
real_world,input/real_world/B35k_L60_D120.txt,12,60,12864753.0,1.0
real_world,input/real_world/B35k_L60_D120.txt,12,120,12864753.0,1.0
real_world,input/real_world/B35k_L60_D120.txt,12,300,12864753.0,1.0
real_world,input/real_world/B35k_L60_D120.txt,12,600,12864753.0,1.0
real_world,input/real_world/B35k_L60_D120.txt,23,0,12544648.0,0.0
real_world,input/real_world/B35k_L60_D120.txt,23,30,12864753.0,1.0
real_world,input/real_world/B35k_L60_D120.txt,23,60,12864753.0,1.0
real_world,input/real_world/B35k_L60_D120.txt,23,120,12864753.0,1.0
real_world,input/real_world/B35k_L60_D120.txt,23,300,12864753.0,1.0
real_world,input/real_world/B35k_L60_D120.txt,23,600,12864753.0,1.0
real_world,input/real_world/B35k_L60_D120.txt,34,0,12544648.0,0.0
real_world,input/real_world/B35k_L60_D120.txt,34,30,12864753.0,1.0
real_world,input/real_world/B35k_L60_D120.txt,34,60,12864753.0,1.0
real_world,input/real_world/B35k_L60_D120.txt,34,120,12864753.0,1.0
real_world,input/real_world/B35k_L60_D120.txt,34,300,12864753.0,1.0
real_world,input/real_world/B35k_L60_D120.txt,34,600,12864753.0,1.0
real_world,input/real_world/B35k_L60_D120.txt,45,0,12544648.0,0.0
real_world,input/real_world/B35k_L60_D120.txt,45,30,12864753.0,1.0
real_world,input/real_world/B35k_L60_D120.txt,45,60,12864753.0,1.0
real_world,input/real_world/B35k_L60_D120.txt,45,120,12864753.0,1.0
real_world,input/real_world/B35k_L60_D120.txt,45,300,12864753.0,1.0
real_world,input/real_world/B35k_L60_D120.txt,45,600,12864753.0,1.0
real_world,input/real_world/B35k_L60_D120.txt,56,0,12544648.0,0.0
real_world,input/real_world/B35k_L60_D120.txt,56,30,12864753.0,1.0
real_world,input/real_world/B35k_L60_D120.txt,56,60,12864753.0,1.0
real_world,input/real_world/B35k_L60_D120.txt,56,120,12864753.0,1.0
real_world,input/real_world/B35k_L60_D120.txt,56,300,12864753.0,1.0
real_world,input/real_world/B35k_L60_D120.txt,56,600,12864753.0,1.0
real_world,input/real_world/B35k_L60_D120.txt,67,0,12544648.0,0.0
real_world,input/real_world/B35k_L60_D120.txt,67,30,12864753.0,1.0
real_world,input/real_world/B35k_L60_D120.txt,67,60,12864753.0,1.0
real_world,input/real_world/B35k_L60_D120.txt,67,120,12864753.0,1.0
real_world,input/real_world/B35k_L60_D120.txt,67,300,12864753.0,1.0
real_world,input/real_world/B35k_L60_D120.txt,67,600,12864753.0,1.0
real_world,input/real_world/B35k_L60_D120.txt,78,0,12544648.0,0.0
real_world,input/real_world/B35k_L60_D120.txt,78,30,12864753.0,1.0
real_world,input/real_world/B35k_L60_D120.txt,78,60,12864753.0,1.0
real_world,input/real_world/B35k_L60_D120.txt,78,120,12864753.0,1.0
